mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.006912851333618164,0.003239028554904284,0.0,0.0,100,2,2,auto,10,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 10}",,,,,,,,17
0.39002685546875,0.03035761702990699,0.021235895156860352,0.005538249078160623,100,2,1,0.5,,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': None}",-1700345657.5916443,-20795513028.998493,-4178544075.6315894,-36697526.4654259,-6174441487.04102,-6577108355.145635,7411316629.25343,10
0.32322354316711427,0.034153208163255865,0.018867635726928712,0.002324975125109261,100,5,2,0.5,30,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 30}",-1057405111.2543261,-20155953241.12136,-2660996714.4556575,-56963076.700456955,-6908941856.673982,-6168052000.041157,7375281081.245265,1
0.7207223415374756,0.09369089850435758,0.032511138916015626,0.010397945782254414,200,2,2,0.5,,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': None}",-971745186.0853881,-20462300765.267216,-3395217921.811929,-42895760.582148306,-6562616738.81416,-6286955274.512168,7437987515.985573,4
0.3716259956359863,0.0854124781062925,0.016994762420654296,0.0022205023373197083,100,2,1,sqrt,30,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30}",-1436277349.3346846,-22120087054.98581,-4353416383.307542,-17224202.135899197,-5915097402.260791,-6768420478.404945,7952917367.101554,12
0.3282076358795166,0.03729231871324592,0.025002384185791017,0.012555459484329574,100,5,1,0.5,,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': None}",-1402761741.2905114,-20679279905.111565,-3407943612.5121064,-52260266.607260324,-6903806334.077137,-6489210371.919717,7460971174.607214,9
0.33948402404785155,0.09720579831177949,0.024952411651611328,0.012072150069617463,100,10,1,0.5,10,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 10}",-886865648.577155,-22970633362.46027,-3090166014.92835,-394972002.54431695,-6731141935.957226,-6814755792.893463,8381472970.92746,15
0.875373649597168,0.23703464736541344,0.04189457893371582,0.004973508989782401,200,10,2,0.5,20,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 20}",-773675592.6414516,-23006775213.654312,-3340811192.4033856,-337842146.75980157,-6536220953.126305,-6799065019.717051,8399657076.691521,13
0.004342269897460937,0.002907825740712362,0.0,0.0,200,5,2,auto,20,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 20}",,,,,,,,17
1.5904932022094727,0.2758474080891966,0.06807141304016114,0.036165533889068215,400,10,2,sqrt,20,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20}",-750530776.8129829,-23276619637.147503,-3529077634.0579987,-537994705.9150406,-5573774200.134449,-6733599390.813595,8479012919.962366,11
0.0023221492767333983,0.0010604396924091312,0.0,0.0,200,5,1,auto,,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': None}",,,,,,,,17
0.0029974937438964843,0.0016875764783409913,0.0,0.0,100,10,1,auto,5,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 5}",,,,,,,,17
0.8201183795928955,0.22011186492176293,0.05153303146362305,0.019844487244253743,200,2,2,0.5,20,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 20}",-971745186.0853881,-20462300765.267216,-3395217921.811929,-42895760.582148306,-6562616738.81416,-6286955274.512168,7437987515.985573,4
1.617654800415039,0.15848218749855492,0.05334939956665039,0.010555265389455361,400,2,1,0.5,,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': None}",-1361792490.2530873,-20416845311.751766,-4513278871.11719,-30541211.88476767,-5691123220.585015,-6402716221.118365,7300516127.995702,7
0.2756927967071533,0.09826856555833152,0.019648313522338867,0.007360168152838426,50,10,2,sqrt,10,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}",-1209933108.3948524,-23460293460.336975,-3090787592.5809917,-774169081.7497044,-5541762348.427333,-6815389118.297972,8490760847.402127,16
1.2900784492492676,0.2068699767143307,0.05072674751281738,0.008246686126515917,400,2,2,0.5,5,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 5}",-1008583837.3933333,-20019970642.542377,-3635909671.1173363,-49970786.23584416,-6423499662.77398,-6227586920.012574,7244114242.437239,2
0.5092650890350342,0.05388321514992515,0.03066740036010742,0.007118775861278194,200,2,4,sqrt,30,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30}",-702400706.4945837,-23725662894.382736,-2007297811.4491274,-385921757.51695824,-5436854732.951232,-6451627580.558928,8820663510.566746,8
0.2612415313720703,0.0343864453934292,0.016074085235595705,0.002431921269296014,100,5,4,0.5,,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': None}",-644519860.0191318,-22307422942.954845,-1739607583.3441422,-163199077.3251922,-6854858107.831399,-6341921514.294942,8330409712.610927,6
0.5511065483093261,0.04454608151665842,0.03453354835510254,0.00922436186345628,200,10,2,0.5,30,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 30}",-773675592.6414516,-23006775213.654312,-3340811192.4033856,-337842146.75980157,-6536220953.126305,-6799065019.717051,8399657076.691521,13
1.321461009979248,0.21294734506577048,0.05455870628356933,0.011222323301906072,400,5,2,sqrt,,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",-976993066.1521703,-21023395597.39166,-3097092642.1639295,-56642530.101722755,-6127644156.304821,-6256353598.422861,7672953672.086153,3
